"","Date","country","location","variable","value","dataSource","val.approx","USD_given","USD_interp"
"1",2014-01-01,"Guinea",NA,NA,NA,NA,NA,0,0
"2",2014-01-01,"Liberia",NA,NA,NA,NA,NA,0,0
"3",2014-01-01,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"4",2014-01-02,"Guinea",NA,NA,NA,NA,NA,0,0
"5",2014-01-02,"Liberia",NA,NA,NA,NA,NA,0,0
"6",2014-01-02,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"7",2014-01-03,"Guinea",NA,NA,NA,NA,NA,0,0
"8",2014-01-03,"Liberia",NA,NA,NA,NA,NA,0,0
"9",2014-01-03,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"10",2014-01-04,"Guinea",NA,NA,NA,NA,NA,0,0
"11",2014-01-04,"Liberia",NA,NA,NA,NA,NA,0,0
"12",2014-01-04,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"13",2014-01-05,"Guinea","GUECKEDOU","CASES",2,"Patient database",2,0,0
"14",2014-01-05,"Liberia",NA,NA,NA,NA,NA,0,0
"15",2014-01-05,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"16",2014-01-06,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"17",2014-01-06,"Liberia",NA,NA,NA,NA,NA,0,0
"18",2014-01-06,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"19",2014-01-07,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"20",2014-01-07,"Liberia",NA,NA,NA,NA,NA,0,0
"21",2014-01-07,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"22",2014-01-08,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"23",2014-01-08,"Liberia",NA,NA,NA,NA,NA,0,0
"24",2014-01-08,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"25",2014-01-09,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"26",2014-01-09,"Liberia",NA,NA,NA,NA,NA,0,0
"27",2014-01-09,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"28",2014-01-10,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"29",2014-01-10,"Liberia",NA,NA,NA,NA,NA,0,0
"30",2014-01-10,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"31",2014-01-11,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"32",2014-01-11,"Liberia",NA,NA,NA,NA,NA,0,0
"33",2014-01-11,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"34",2014-01-12,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"35",2014-01-12,"Liberia",NA,NA,NA,NA,NA,0,0
"36",2014-01-12,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"37",2014-01-13,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"38",2014-01-13,"Liberia",NA,NA,NA,NA,NA,0,0
"39",2014-01-13,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"40",2014-01-14,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"41",2014-01-14,"Liberia",NA,NA,NA,NA,NA,0,0
"42",2014-01-14,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"43",2014-01-15,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"44",2014-01-15,"Liberia",NA,NA,NA,NA,NA,0,0
"45",2014-01-15,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"46",2014-01-16,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"47",2014-01-16,"Liberia",NA,NA,NA,NA,NA,0,0
"48",2014-01-16,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"49",2014-01-17,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"50",2014-01-17,"Liberia",NA,NA,NA,NA,NA,0,0
"51",2014-01-17,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"52",2014-01-18,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"53",2014-01-18,"Liberia",NA,NA,NA,NA,NA,0,0
"54",2014-01-18,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"55",2014-01-19,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"56",2014-01-19,"Liberia",NA,NA,NA,NA,NA,0,0
"57",2014-01-19,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"58",2014-01-20,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"59",2014-01-20,"Liberia",NA,NA,NA,NA,NA,0,0
"60",2014-01-20,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"61",2014-01-21,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"62",2014-01-21,"Liberia",NA,NA,NA,NA,NA,0,0
"63",2014-01-21,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"64",2014-01-22,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"65",2014-01-22,"Liberia",NA,NA,NA,NA,NA,0,0
"66",2014-01-22,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"67",2014-01-23,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"68",2014-01-23,"Liberia",NA,NA,NA,NA,NA,0,0
"69",2014-01-23,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"70",2014-01-24,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"71",2014-01-24,"Liberia",NA,NA,NA,NA,NA,0,0
"72",2014-01-24,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"73",2014-01-25,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"74",2014-01-25,"Liberia",NA,NA,NA,NA,NA,0,0
"75",2014-01-25,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"76",2014-01-26,"Guinea","GUECKEDOU","CASES",5,"Patient database",5,0,0
"77",2014-01-26,"Liberia",NA,NA,NA,NA,NA,0,0
"78",2014-01-26,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"79",2014-01-27,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"80",2014-01-27,"Liberia",NA,NA,NA,NA,NA,0,0
"81",2014-01-27,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"82",2014-01-28,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"83",2014-01-28,"Liberia",NA,NA,NA,NA,NA,0,0
"84",2014-01-28,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"85",2014-01-29,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"86",2014-01-29,"Liberia",NA,NA,NA,NA,NA,0,0
"87",2014-01-29,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"88",2014-01-30,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"89",2014-01-30,"Liberia",NA,NA,NA,NA,NA,0,0
"90",2014-01-30,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"91",2014-01-31,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"92",2014-01-31,"Liberia",NA,NA,NA,NA,NA,0,0
"93",2014-01-31,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"94",2014-02-01,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"95",2014-02-01,"Liberia",NA,NA,NA,NA,NA,0,0
"96",2014-02-01,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"97",2014-02-02,"Guinea","GUECKEDOU","CASES",3,"Patient database",3,0,0
"98",2014-02-02,"Liberia",NA,NA,NA,NA,NA,0,0
"99",2014-02-02,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"100",2014-02-03,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"101",2014-02-03,"Liberia",NA,NA,NA,NA,NA,0,0
"102",2014-02-03,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"103",2014-02-04,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"104",2014-02-04,"Liberia",NA,NA,NA,NA,NA,0,0
"105",2014-02-04,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"106",2014-02-05,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"107",2014-02-05,"Liberia",NA,NA,NA,NA,NA,0,0
"108",2014-02-05,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"109",2014-02-06,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"110",2014-02-06,"Liberia",NA,NA,NA,NA,NA,0,0
"111",2014-02-06,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"112",2014-02-07,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"113",2014-02-07,"Liberia",NA,NA,NA,NA,NA,0,0
"114",2014-02-07,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"115",2014-02-08,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"116",2014-02-08,"Liberia",NA,NA,NA,NA,NA,0,0
"117",2014-02-08,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"118",2014-02-09,"Guinea","GUECKEDOU","CASES",5,"Patient database",5,0,0
"119",2014-02-09,"Liberia",NA,NA,NA,NA,NA,0,0
"120",2014-02-09,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"121",2014-02-10,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"122",2014-02-10,"Liberia",NA,NA,NA,NA,NA,0,0
"123",2014-02-10,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"124",2014-02-11,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"125",2014-02-11,"Liberia",NA,NA,NA,NA,NA,0,0
"126",2014-02-11,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"127",2014-02-12,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"128",2014-02-12,"Liberia",NA,NA,NA,NA,NA,0,0
"129",2014-02-12,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"130",2014-02-13,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"131",2014-02-13,"Liberia",NA,NA,NA,NA,NA,0,0
"132",2014-02-13,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"133",2014-02-14,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"134",2014-02-14,"Liberia",NA,NA,NA,NA,NA,0,0
"135",2014-02-14,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"136",2014-02-15,"Guinea","GUECKEDOU",NA,NA,NA,5,0,0
"137",2014-02-15,"Liberia",NA,NA,NA,NA,NA,0,0
"138",2014-02-15,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"139",2014-02-16,"Guinea","GUECKEDOU","CASES",2,"Patient database",2,0,0
"140",2014-02-16,"Guinea","MACENTA","CASES",1,"Patient database",1,0,0
"141",2014-02-16,"Liberia",NA,NA,NA,NA,NA,0,0
"142",2014-02-16,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"143",2014-02-17,"Guinea","MACENTA",NA,NA,NA,1,0,0
"144",2014-02-17,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"145",2014-02-17,"Liberia",NA,NA,NA,NA,NA,0,0
"146",2014-02-17,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"147",2014-02-18,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"148",2014-02-18,"Guinea","MACENTA",NA,NA,NA,1,0,0
"149",2014-02-18,"Liberia",NA,NA,NA,NA,NA,0,0
"150",2014-02-18,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"151",2014-02-19,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"152",2014-02-19,"Guinea","MACENTA",NA,NA,NA,1,0,0
"153",2014-02-19,"Liberia",NA,NA,NA,NA,NA,0,0
"154",2014-02-19,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"155",2014-02-20,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"156",2014-02-20,"Guinea","MACENTA",NA,NA,NA,1,0,0
"157",2014-02-20,"Liberia",NA,NA,NA,NA,NA,0,0
"158",2014-02-20,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"159",2014-02-21,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"160",2014-02-21,"Guinea","MACENTA",NA,NA,NA,1,0,0
"161",2014-02-21,"Liberia",NA,NA,NA,NA,NA,0,0
"162",2014-02-21,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"163",2014-02-22,"Guinea","MACENTA",NA,NA,NA,1,0,0
"164",2014-02-22,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"165",2014-02-22,"Liberia",NA,NA,NA,NA,NA,0,0
"166",2014-02-22,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"167",2014-02-23,"Guinea","MACENTA","CASES",2,"Patient database",2,0,0
"168",2014-02-23,"Guinea","GUECKEDOU","CASES",3,"Patient database",3,0,0
"169",2014-02-23,"Liberia",NA,NA,NA,NA,NA,0,0
"170",2014-02-23,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"171",2014-02-24,"Guinea","MACENTA",NA,NA,NA,2,0,0
"172",2014-02-24,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"173",2014-02-24,"Liberia",NA,NA,NA,NA,NA,0,0
"174",2014-02-24,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"175",2014-02-25,"Guinea","MACENTA",NA,NA,NA,2,0,0
"176",2014-02-25,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"177",2014-02-25,"Liberia",NA,NA,NA,NA,NA,0,0
"178",2014-02-25,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"179",2014-02-26,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"180",2014-02-26,"Guinea","MACENTA",NA,NA,NA,2,0,0
"181",2014-02-26,"Liberia",NA,NA,NA,NA,NA,0,0
"182",2014-02-26,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"183",2014-02-27,"Guinea","MACENTA",NA,NA,NA,2,0,0
"184",2014-02-27,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"185",2014-02-27,"Liberia",NA,NA,NA,NA,NA,0,0
"186",2014-02-27,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"187",2014-02-28,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"188",2014-02-28,"Guinea","MACENTA",NA,NA,NA,2,0,0
"189",2014-02-28,"Liberia",NA,NA,NA,NA,NA,0,0
"190",2014-02-28,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"191",2014-03-01,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"192",2014-03-01,"Guinea","MACENTA",NA,NA,NA,2,0,0
"193",2014-03-01,"Liberia",NA,NA,NA,NA,NA,0,0
"194",2014-03-01,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"195",2014-03-02,"Guinea","MACENTA","CASES",2,"Patient database",2,0,0
"196",2014-03-02,"Guinea","GUECKEDOU","CASES",7,"Patient database",7,0,0
"197",2014-03-02,"Liberia",NA,NA,NA,NA,NA,0,0
"198",2014-03-02,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"199",2014-03-03,"Guinea","GUECKEDOU",NA,NA,NA,7,0,0
"200",2014-03-03,"Guinea","MACENTA",NA,NA,NA,2,0,0
"201",2014-03-03,"Liberia",NA,NA,NA,NA,NA,0,0
"202",2014-03-03,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"203",2014-03-04,"Guinea","GUECKEDOU",NA,NA,NA,7,0,0
"204",2014-03-04,"Guinea","MACENTA",NA,NA,NA,2,0,0
"205",2014-03-04,"Liberia",NA,NA,NA,NA,NA,0,0
"206",2014-03-04,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"207",2014-03-05,"Guinea","GUECKEDOU",NA,NA,NA,7,0,0
"208",2014-03-05,"Guinea","MACENTA",NA,NA,NA,2,0,0
"209",2014-03-05,"Liberia",NA,NA,NA,NA,NA,0,0
"210",2014-03-05,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"211",2014-03-06,"Guinea","GUECKEDOU",NA,NA,NA,7,0,0
"212",2014-03-06,"Guinea","MACENTA",NA,NA,NA,2,0,0
"213",2014-03-06,"Liberia",NA,NA,NA,NA,NA,0,0
"214",2014-03-06,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"215",2014-03-07,"Guinea","MACENTA",NA,NA,NA,2,0,0
"216",2014-03-07,"Guinea","GUECKEDOU",NA,NA,NA,7,0,0
"217",2014-03-07,"Liberia",NA,NA,NA,NA,NA,0,0
"218",2014-03-07,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"219",2014-03-08,"Guinea","MACENTA",NA,NA,NA,2,0,0
"220",2014-03-08,"Guinea","GUECKEDOU",NA,NA,NA,7,0,0
"221",2014-03-08,"Liberia",NA,NA,NA,NA,NA,0,0
"222",2014-03-08,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"223",2014-03-09,"Guinea","MACENTA","CASES",2,"Patient database",2,0,0
"224",2014-03-09,"Guinea","KISSIDOUGO","CASES",2,"Patient database",2,0,0
"225",2014-03-09,"Guinea","GUECKEDOU","CASES",3,"Patient database",3,0,0
"226",2014-03-09,"Liberia",NA,NA,NA,NA,NA,0,0
"227",2014-03-09,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"228",2014-03-10,"Guinea","MACENTA",NA,NA,NA,2,0,0
"229",2014-03-10,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"230",2014-03-10,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"231",2014-03-10,"Liberia",NA,NA,NA,NA,NA,0,0
"232",2014-03-10,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"233",2014-03-11,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"234",2014-03-11,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"235",2014-03-11,"Guinea","MACENTA",NA,NA,NA,2,0,0
"236",2014-03-11,"Liberia",NA,NA,NA,NA,NA,0,0
"237",2014-03-11,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"238",2014-03-12,"Guinea","MACENTA",NA,NA,NA,2,0,0
"239",2014-03-12,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"240",2014-03-12,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"241",2014-03-12,"Liberia",NA,NA,NA,NA,NA,0,0
"242",2014-03-12,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"243",2014-03-13,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"244",2014-03-13,"Guinea","MACENTA",NA,NA,NA,2,0,0
"245",2014-03-13,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"246",2014-03-13,"Liberia",NA,NA,NA,NA,NA,0,0
"247",2014-03-13,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"248",2014-03-14,"Guinea","MACENTA",NA,NA,NA,2,0,0
"249",2014-03-14,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"250",2014-03-14,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"251",2014-03-14,"Liberia",NA,NA,NA,NA,NA,0,0
"252",2014-03-14,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"253",2014-03-15,"Guinea","GUECKEDOU",NA,NA,NA,3,0,0
"254",2014-03-15,"Guinea","MACENTA",NA,NA,NA,2,0,0
"255",2014-03-15,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"256",2014-03-15,"Liberia",NA,NA,NA,NA,NA,0,0
"257",2014-03-15,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"258",2014-03-16,"Guinea","KISSIDOUGO","CASES",2,"Patient database",2,0,0
"259",2014-03-16,"Guinea","GUECKEDOU","CASES",19,"Patient database",19,0,0
"260",2014-03-16,"Guinea","MACENTA","CASES",4,"Patient database",4,0,0
"261",2014-03-16,"Guinea","CONAKRY","CASES",1,"Patient database",1,0,0
"262",2014-03-16,"Guinea","KOUROUSSA","CASES",1,"Patient database",1,0,0
"263",2014-03-16,"Liberia",NA,NA,NA,NA,NA,0,0
"264",2014-03-16,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"265",2014-03-17,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"266",2014-03-17,"Guinea","GUECKEDOU",NA,NA,NA,19,0,0
"267",2014-03-17,"Guinea","MACENTA",NA,NA,NA,4,0,0
"268",2014-03-17,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"269",2014-03-17,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"270",2014-03-17,"Liberia",NA,NA,NA,NA,NA,0,0
"271",2014-03-17,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"272",2014-03-18,"Guinea","GUECKEDOU",NA,NA,NA,19,0,0
"273",2014-03-18,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"274",2014-03-18,"Guinea","MACENTA",NA,NA,NA,4,0,0
"275",2014-03-18,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"276",2014-03-18,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"277",2014-03-18,"Liberia",NA,NA,NA,NA,NA,0,0
"278",2014-03-18,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"279",2014-03-19,"Guinea","GUECKEDOU",NA,NA,NA,19,0,0
"280",2014-03-19,"Guinea","MACENTA",NA,NA,NA,4,0,0
"281",2014-03-19,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"282",2014-03-19,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"283",2014-03-19,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"284",2014-03-19,"Liberia",NA,NA,NA,NA,NA,0,0
"285",2014-03-19,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"286",2014-03-20,"Guinea","MACENTA",NA,NA,NA,4,0,0
"287",2014-03-20,"Guinea","GUECKEDOU",NA,NA,NA,19,0,0
"288",2014-03-20,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"289",2014-03-20,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"290",2014-03-20,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"291",2014-03-20,"Liberia",NA,NA,NA,NA,NA,0,0
"292",2014-03-20,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"293",2014-03-21,"Guinea","MACENTA",NA,NA,NA,4,0,0
"294",2014-03-21,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"295",2014-03-21,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"296",2014-03-21,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"297",2014-03-21,"Guinea","GUECKEDOU",NA,NA,NA,19,0,0
"298",2014-03-21,"Liberia",NA,NA,NA,NA,NA,0,0
"299",2014-03-21,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"300",2014-03-22,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"301",2014-03-22,"Guinea","KISSIDOUGO",NA,NA,NA,2,0,0
"302",2014-03-22,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"303",2014-03-22,"Guinea","MACENTA",NA,NA,NA,4,0,0
"304",2014-03-22,"Guinea","GUECKEDOU",NA,NA,NA,19,0,0
"305",2014-03-22,"Liberia",NA,NA,NA,NA,NA,0,0
"306",2014-03-22,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"307",2014-03-23,"Guinea","DABOLA","CASES",1,"Patient database",1,0,0
"308",2014-03-23,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"309",2014-03-23,"Guinea","MACENTA","CASES",1,"Patient database",1,0,0
"310",2014-03-23,"Guinea","GUECKEDOU","CASES",14,"Patient database",14,0,0
"311",2014-03-23,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"312",2014-03-23,"Guinea","KISSIDOUGO","CASES",1,"Patient database",1,0,0
"313",2014-03-23,"Liberia","LOFA","CASES",1,"Patient database",1,0,0
"314",2014-03-23,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"315",2014-03-24,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"316",2014-03-24,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"317",2014-03-24,"Guinea","DABOLA",NA,NA,NA,1,0,0
"318",2014-03-24,"Guinea","MACENTA",NA,NA,NA,1,0,0
"319",2014-03-24,"Guinea","KISSIDOUGO",NA,NA,NA,1,0,0
"320",2014-03-24,"Guinea","GUECKEDOU",NA,NA,NA,14,0,0
"321",2014-03-24,"Liberia","LOFA",NA,NA,NA,1,0,0
"322",2014-03-24,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"323",2014-03-25,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"324",2014-03-25,"Guinea","MACENTA",NA,NA,NA,1,0,0
"325",2014-03-25,"Guinea","KISSIDOUGO",NA,NA,NA,1,0,0
"326",2014-03-25,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"327",2014-03-25,"Guinea","DABOLA",NA,NA,NA,1,0,0
"328",2014-03-25,"Guinea","GUECKEDOU",NA,NA,NA,14,0,0
"329",2014-03-25,"Liberia","LOFA",NA,NA,NA,1,0,0
"330",2014-03-25,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"331",2014-03-26,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"332",2014-03-26,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"333",2014-03-26,"Guinea","MACENTA",NA,NA,NA,1,0,0
"334",2014-03-26,"Guinea","DABOLA",NA,NA,NA,1,0,0
"335",2014-03-26,"Guinea","KISSIDOUGO",NA,NA,NA,1,0,0
"336",2014-03-26,"Guinea","GUECKEDOU",NA,NA,NA,14,0,0
"337",2014-03-26,"Liberia","LOFA",NA,NA,NA,1,0,0
"338",2014-03-26,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"339",2014-03-27,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"340",2014-03-27,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"341",2014-03-27,"Guinea","MACENTA",NA,NA,NA,1,0,0
"342",2014-03-27,"Guinea","DABOLA",NA,NA,NA,1,0,0
"343",2014-03-27,"Guinea","GUECKEDOU",NA,NA,NA,14,0,0
"344",2014-03-27,"Guinea","KISSIDOUGO",NA,NA,NA,1,0,0
"345",2014-03-27,"Liberia","LOFA",NA,NA,NA,1,0,0
"346",2014-03-27,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"347",2014-03-28,"Guinea","GUECKEDOU",NA,NA,NA,14,0,0
"348",2014-03-28,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"349",2014-03-28,"Guinea","MACENTA",NA,NA,NA,1,0,0
"350",2014-03-28,"Guinea","KISSIDOUGO",NA,NA,NA,1,0,0
"351",2014-03-28,"Guinea","DABOLA",NA,NA,NA,1,0,0
"352",2014-03-28,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"353",2014-03-28,"Liberia","LOFA",NA,NA,NA,1,0,0
"354",2014-03-28,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"355",2014-03-29,"Guinea","DABOLA",NA,NA,NA,1,0,0
"356",2014-03-29,"Guinea","GUECKEDOU",NA,NA,NA,14,0,0
"357",2014-03-29,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"358",2014-03-29,"Guinea","CONAKRY",NA,NA,NA,1,0,0
"359",2014-03-29,"Guinea","MACENTA",NA,NA,NA,1,0,0
"360",2014-03-29,"Guinea","KISSIDOUGO",NA,NA,NA,1,0,0
"361",2014-03-29,"Liberia","LOFA",NA,NA,NA,1,0,0
"362",2014-03-29,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"363",2014-03-30,"Guinea","DABOLA","CASES",3,"Patient database",3,0,0
"364",2014-03-30,"Guinea","KISSIDOUGO",NA,NA,NA,1,0,0
"365",2014-03-30,"Guinea","KOUROUSSA",NA,NA,NA,1,0,0
"366",2014-03-30,"Guinea","MACENTA","CASES",5,"Patient database",5,0,0
